"power charge on critical support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"life leech support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"arcane cloak",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"concentrated effect support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"increased critical damage support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""increased critical damage support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"predator support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""signal prey""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,6
"signal prey",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"trinity support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"burning damage support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""burning damage support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"concentrated effect support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""concentrated effect support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"innervate support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""innervate support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"physical to lightning support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""physical to lightning support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"bonechill support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""bonechill support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"pinpoint support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""pinpoint support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"minion speed support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""minion speed support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"elemental proliferation support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""elemental proliferation support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"seismic cry",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""seismic cry""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"mirage archer support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""mirage archer support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"lightning penetration support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""lightning penetration support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"arrogance support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""arrogance support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"energy leech support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"shockwave support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""shockwave""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"ballista totem support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""typeLine"",""value"":""ballista totem support""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"hypothermia support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,4
"herald of purity",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"feeding frenzy support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"earthbreaker support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,6
"behead support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
"string of servitude",unique,"[{""key"":""sixLink"",""value"":false},{""key"":""corrupted"",""value"":true},{""key"":""foilVariation"",""value"":0}]",totalValidListings,0,5
"urgent orders support",gem,"[{""key"":""lvl"",""value"":""1-18""},{""key"":""corrupted""},{""key"":""quality"",""value"":""0""}]",totalValidListings,0,5
